"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC"
"Bear Lake","322	","Colorado","SNOTEL","Larimer","9500","40.31118","-105.64483","101900060201	"
"Bear Mountain","323	","Idaho","SNOTEL","Bonner","5400","48.30577","-116.07448","170102131202	"
"Bear River","1061	","Colorado","SNOTEL","Routt","9080","40.06153","-107.00955","140500010102	"
"Bear River RS","992	","Utah","SNOTEL","Summit","8777","40.8852","-110.8277","160101010106	"
"Bear Saddle","324	","Idaho","SNOTEL","Washington","6180","44.60533","-116.98097","170501241001	"
"Bear Trap Meadow","325	","Wyoming","SNOTEL","Johnson","8200","43.88743","-107.06135","100902010205	"
"Beartooth Lake","326	","Wyoming","SNOTEL","Park","9360","44.94307","-109.56743","100700060206	"
"Beartown","327	","Colorado","SNOTEL","Mineral","11600","37.71409","-107.51212","130100010104	"
"Beasley Lake","2032	","Mississippi","SCAN","Sunflower","115","33.38333","-90.65","080302071002	"
"Beaumont","2207	","Texas","SCAN","Jefferson","19","30.06845","-94.29283","120402010100	"
"Beaver Ck Village","1041	","Colorado","SNOTEL","Eagle","8500","39.59917","-106.51142","140100030301	"
"Beaver Creek","328	","Montana","SNOTEL","Gallatin","7850","44.94966","-111.35852","100200070402	"
"Beaver Dams","329	","Utah","SNOTEL","Sanpete","7990","39.13683","-111.55813","160300040402	"
"Beaver Divide","330	","Utah","SNOTEL","Summit","8280","40.61233","-111.09782","160202030105	"
"Beaver Head","902	","Arizona","SNOTEL","Greenlee","7990","33.69144","-109.21657","150601010107	"
"Beaver Pass","990	","Washington","SNOTEL","Whatcom","3630","48.8793","-121.2555","171100050605	"
"Beaver Reservoir","331	","Oregon","SNOTEL","Union","5150","45.14532","-118.219","170601040301	"
"Beaver Spring","1143	","Arizona","SNOTEL","Apache","9200","36.32678","-109.05711","140802040401	"
"Ben Lomond Peak","332	","Utah","SNOTEL","Weber","7689","41.37603","-111.94405","160201020302	"
"Ben Lomond Trail","333	","Utah","SNOTEL","Weber","5972","41.38291","-111.92103","160201020302	"
"Berry Creek","334	","Nevada","SNOTEL","White Pine","9377","39.31917","-114.62278","160600081301	"
"Berthoud Summit","335	","Colorado","SNOTEL","Grand","11300","39.80392","-105.77789","140100010202	"
"Bettles Field","1182	","Alaska","SNOTEL","Yukon-Koyukuk","640","66.91667","-151.53333","190901012604	"
"Bevans Cabin","1214	","Utah","SNOTEL","Tooele","6520","40.46182","-112.25233","160203040401	"
"Big Bend","336	","Nevada","SNOTEL","Elko","6898","41.76168","-115.6931","170501040104	"
"Big Creek Sum","337	","Nevada","SNOTEL","Lander","8685","39.29148","-117.11506","160401070303	"
"Big Creek Summit","338	","Idaho","SNOTEL","Valley","6560","44.62621","-115.79561","170602080402	"
"Big Flat","339	","Utah","SNOTEL","Beaver","10349","38.30183","-112.35672","160300070202	"
"Big Goose","931	","Wyoming","SNOTEL","Sheridan","7990","44.57924","-107.20068","100901010103	"
"Big Meadow","340	","Nevada","SNOTEL","Washoe","8235","39.455","-119.9422","160501020505	"
"Big Red Mountain","341	","Oregon","SNOTEL","Jackson","6050","42.05257","-122.85487","171003090301	"
"Big Sandy Opening","342	","Wyoming","SNOTEL","Sublette","9080","42.6458","-109.25965","140401040101	"
"Bigelow Camp","343	","Oregon","SNOTEL","Josephine","5130","42.07875","-123.34393","171003090105	"
"Billie Creek Divide","344	","Oregon","SNOTEL","Klamath","5280","42.40717","-122.26617","180102030201	"
"Bird Creek","1155	","Nevada","SNOTEL","White Pine","7537","39.46138","-114.64863","160600081304	"
"Bison Lake","345	","Colorado","SNOTEL","Garfield","10880","39.76487","-107.35681","140100011401	"
"Bisson Creek","346	","Montana","SNOTEL","Lake","4920","47.68389","-113.99901","170102120602	"
"Black Bear","347	","Montana","SNOTEL","Gallatin","8170","44.50832","-111.12803","100200070202	"
"Black Flat-U.M. Ck","348	","Utah","SNOTEL","Sevier","9414","38.6799","-111.59765","140700030101	"
"Black Mesa","1185	","Colorado","SNOTEL","Dolores","11580","37.78972","-108.18365","140300020103	"
"Black Mountain","1161	","Colorado","SNOTEL","Larimer","8920","40.888","-105.66397","101900070501	"
"Black Pine","349	","Montana","SNOTEL","Granite","7210","46.414","-113.43095","170102020203	"
