"pedon_key","stationTriplet","Site","stateCode","Network","Name","dcoCode","countyName","HUC","Elevation_ft","Latitude","Longitude","dataTimeZone","shefId","beginDate","endDate","upedonid","pedlabsampnum","State"
"29691","2072:SD:SCAN","2072","SD","SCAN","Eros Data Center","GC","Minnehaha","101702031402",1602,43.73835,-96.61455,-6,"EROS2","2003-05-01 00:00","2100-01-01 00:00","S2003SD099001","03N0688","South Dakota"
"70988","2185:CA:SCAN","2185","CA","SCAN","Essex","GC","San Bernardino","181001003308",2644,34.67235,-115.16693,-8,"EXCC1","2011-11-19 00:00","2100-01-01 00:00","S2011CA071003","13N97465","California"
"23291","2051:FL:SCAN","2051","FL","SCAN","Everglades ARS","GC","Miami-Dade","030902061603",9,25.5,-80.55,-5,"EARF1","1999-02-01 00:00","2100-01-01 00:00","97FL025005A","97P0435","Florida"
"66090","1092:AK:SNTL","1092","AK","SNTL","Exit Glacier","AK","Kenai Peninsula","190202020508",400,60.19033,-149.62117,-9,"EXGA2","2011-07-05 00:00","2100-01-01 00:00","S2011SN07001","12N8355","Alaska"
"25034","473:CA:SNTL","473","CA","SNTL","Fallen Leaf","UT","El Dorado","160501010401",6242,38.93403,-120.0545,-8,"FLFC1","1979-10-01 00:00","2100-01-01 00:00","99CA017031","00P0344","California"
"73377","474:UT:SNTL","474","UT","SNTL","Farmington","UT","Davis","160201020502",7902,40.97462,-111.80975,-8,"FMNU1","1978-10-01 00:00","2100-01-01 00:00","S2014UT011001","15N0469","Utah"
"66108","1049:CA:SNTL","1049","CA","SNTL","Forestdale Creek","UT","Alpine","160502010301",8017,38.68245,-119.9597,-8,"FDCC1","2003-10-01 00:00","2100-01-01 00:00","S10CA003003","11N0376","California"
"19462","2019:MT:SCAN","2019","MT","SCAN","Fort Assiniboine #1","GC","Hill","100500040103",2710,48.48333,-109.8,-7,"FASM8","1991-10-01 00:00","2100-01-01 00:00","92MT041003","92P0838","Montana"
"27115","2022:OK:SCAN","2022","OK","SCAN","Fort Reno #1","GC","Canadian","111003010606",1400,35.55,-98.01667,-6,"FTRO2","1998-11-10 14:00","2100-01-01 00:00","S2001OK017001","01N1209","Oklahoma"
"35066","1121:AZ:SNTL","1121","AZ","SNTL","Fort Valley","CO","Coconino","150200150102",7371,35.26773,-111.74479,-8,"FRVA3","2008-06-26 00:00","2100-01-01 00:00","S08AZ005001","08N0584","Arizona"
"10752","484:ID:SNTL","484","ID","SNTL","Franklin Basin","UT","Franklin","160102020501",8140,42.0505,-111.6012,-8,"FBNI1","1978-10-01 00:00","2100-01-01 00:00","83ID041001","83P0904","Idaho"
"43783","485:CO:SNTL","485","CO","SNTL","Fremont Pass","CO","Summit","140100020301",11326,39.38014,-106.19784,-8,"FMTC2","1979-10-01 00:00","2100-01-01 00:00","S2009CO117001","10N0430","Colorado"
"73391","1262:NV:SNTL","1262","NV","SNTL","Fry Canyon","UT","Elko","160401020101",6798,41.58008,-115.9364,-8,"FRYN2","2014-10-08 00:00","2100-01-01 00:00","S2014NV007112","15N0483","Nevada"
"74180","3055:NY:CSCAN","3055","NY","CSCAN","Gakwiyoh","GC","Erie","041201020208",822,42.50904,-78.9438,-5,NA,"2018-09-25 00:00","2100-01-01 00:00","S2018NY029001","19N0009","New York"
"53326","490:ID:SNTL","490","ID","SNTL","Galena Summit","ID","Blaine","170402190101",8780,43.87497,-114.71363,-8,"GLSI1","1978-10-01 00:00","2100-01-01 00:00","S2010ID013001","10N1363","Idaho"
"18821","2011:NY:SCAN","2011","NY","SCAN","Geneva #1","GC","Ontario","041402010904",725,42.88333,-77.03333,-5,"GVAN6","1993-10-01 00:00","2100-01-01 00:00","S1991NY069001","92P0198","New York"
"66104","1151:UT:SNTL","1151","UT","SNTL","George Creek","UT","Box Elder","170402100401",8964,41.91562,-113.41154,-8,"GECU1","2010-10-01 00:00","2100-01-01 00:00","S10UT003001","11N0372","Utah"
"28526","2050:MN:SCAN","2050","MN","SCAN","Glacial Ridge","GC","Polk","090203030503",1125,47.71667,-96.26667,-6,"GLRM5","2001-09-25 00:00","2100-01-01 00:00","S2002MN119001","02N0123","Minnesota"
"33671","962:AK:SNTL","962","AK","SNTL","Gobblers Knob","AK","Yukon-Koyukuk","190901020403",2030,66.745,-150.6675,-9,"GOBA2","1996-10-01 00:00","2100-01-01 00:00","S2006AK002013","07N0171","Alaska"
"29368","2024:MS:SCAN","2024","MS","SCAN","Goodwin Ck Pasture","GC","Panola","080302030403",320,34.25,-89.86667,-6,"GCPM6","1999-01-27 00:00","2100-01-01 00:00","S2002MS107001","03N0160","Mississippi"
"29369","2025:MS:SCAN","2025","MS","SCAN","Goodwin Ck Timber","GC","Panola","080302030402",320,34.23333,-89.9,-6,"GCTM6","1999-01-27 00:00","2100-01-01 00:00","S2002MS107002","03N0161","Mississippi"
